cycle,rOM,dOM,sOM
29,193.70000000000002,176.54499999999985,766.6800000000002
30,5.9,10.56,45.41
30,187.5,38.294999999999995,179.49
30,161.2,179.5949999999999,776.07
31,3.3,11.360000000000001,46.370000000000005
31,177.10000000000002,43.294999999999995,181.11
31,136.5,181.19999999999987,783.0600000000003
32,2.0,10.860000000000001,47.33
32,169.3,45.69499999999999,182.73000000000002
32,114.4,187.09999999999985,786.2749999999996
33,2.0,9.06,48.29
33,161.5,45.505,186.35000000000002
33,74.1,204.19999999999985,789.8200000000002
34,2.0,7.26,49.25
34,151.1,47.205,190.42999999999998
34,48.1,217.64999999999984,792.6800000000001
35,2.0,5.46,50.21
35,140.7,48.60500000000002,194.81000000000003
35,39.0,205.64999999999984,794.6699999999997
36,2.0,3.6599999999999997,51.17
36,130.3,50.00500000000002,199.19
36,39.0,185.60499999999982,794.5700000000002
37,2.0,1.8599999999999999,52.129999999999995
37,119.89999999999999,51.405,203.57
37,39.0,167.60499999999985,792.41
38,2.0,0.06,53.09
38,109.5,52.805000000000014,207.95
38,39.0,153.55999999999983,786.4999999999999
39,2.0,0.00999999999999999,52.4
39,99.1,57.70500000000002,209.03
39,39.0,141.70999999999984,778.19
40,2.0,0.00999999999999999,51.56
40,90.0,61.40500000000002,209.81
40,39.0,130.90999999999983,768.9999999999999
41,2.0,0.00999999999999999,50.72
41,83.5,61.21000000000002,211.59
41,39.0,120.10999999999984,760.0600000000001
42,2.0,0.00999999999999999,49.879999999999995
42,73.1,62.91000000000003,214.865
42,39.0,109.30999999999986,751.1200000000001
43,2.0,0.00999999999999999,49.04
43,62.7,64.31000000000002,218.405
43,39.0,98.55999999999986,742.1799999999997
44,2.0,0.00999999999999999,48.2
44,52.3,65.71000000000001,221.94500000000002
44,39.0,89.55999999999992,731.6600000000002
45,2.0,0.00999999999999999,47.36
45,45.8,64.51,225.48499999999996
45,39.0,80.55999999999992,721.76
46,2.0,0.00999999999999999,46.519999999999996
46,40.6,60.71000000000002,229.025
46,39.0,71.70999999999991,711.7099999999998
47,2.0,0.00999999999999999,45.68
47,35.4,58.465000000000025,231.065
47,39.0,64.5099999999999,700.2700000000002
48,2.0,0.00999999999999999,44.84
48,31.5,55.16500000000003,232.80500000000004
48,39.0,57.3100000000001,691.8649999999997
49,2.0,0.00999999999999999,44.0
49,28.9,50.565000000000026,234.54500000000002
49,39.0,51.72000000000011,682.0249999999999
50,2.0,0.00999999999999999,43.16
50,26.3,46.51500000000003,235.83499999999998
50,39.0,48.120000000000104,670.2300000000004
51,2.0,0.00999999999999999,42.32
51,23.7,43.71500000000002,235.775
